id_cuadra,direccion,fecha,tiempo,ocupacion,lugares_cuadra,ocupacion_max,dispon_parq,altas_bajas(dia)
43,Mitre 648,09-12-19,10:22:39,16,22,16,green,25
49,Alem 852,09-12-19,10:23:22,0,12,1,green,2
51,Chacabuco 562,09-12-19,10:24:22,9,21,9,green,17
52,Chacabuco 646,09-12-19,10:25:12,8,21,8,green,12
56,Yrigoyen 557,09-12-19,10:23:06,6,26,7,green,11
57,Yrigoyen 753,09-12-19,10:25:22,10,24,10,green,20
58,Yrigoyen 847,09-12-19,10:22:59,10,24,11,green,20
60,Fuerte Independencia 349,09-12-19,10:20:27,9,44,10,green,16
64,Rodriguez 348,09-12-19,10:23:44,9,17,10,green,17
67,14 de Julio 347,09-12-19,10:25:04,4,20,6,green,17
69,14 de Julio 657,09-12-19,10:24:01,5,10,5,green,12
73,Maipu 547,09-12-19,10:25:11,8,21,8,green,11
74,Maipu 653,09-12-19,10:24:48,9,20,10,green,14
75,Maipu 333,09-12-19,10:25:27,13,31,13,green,26
78,Maipu 953,09-12-19,10:22:15,2,14,2,green,6
80,General Paz 447,09-12-19,10:25:27,15,36,15,green,27
81,General Paz 547,09-12-19,10:22:59,3,17,3,green,6
82,General Paz 647,09-12-19,10:25:20,8,34,8,green,24
83,General Paz 739,09-12-19,10:24:06,3,18,4,green,13
86,Av. España 481,09-12-19,10:24:44,0,10,1,green,2
95,Av. España 526,09-12-19,10:23:09,4,,4,green,10
99,Av. España 970,09-12-19,10:23:15,5,,6,green,12
2,General Pinto 545,09-12-19,10:30:30,11,27,13,green,27
4,Rodriguez 552,09-12-19,10:30:12,16,28,18,green,33
5,9 de Julio 441,09-12-19,10:30:23,6,26,6,green,6
6,General Pinto 759,09-12-19,10:30:31,16,30,16,green,26
7,San Martín 758,09-12-19,10:30:26,6,28,6,green,16
8,Sarmiento 641,09-12-19,10:30:30,8,22,8,green,15
9,San Martín 560,09-12-19,10:30:21,4,22,4,green,8
11,San Martín 658,09-12-19,10:30:21,18,30,20,green,28
12,Belgrano 480,09-12-19,10:30:30,11,25,11,green,33
13,General Pinto 343,09-12-19,10:30:24,14,33,14,green,22
15,General Pinto 631,09-12-19,10:30:08,8,25,10,green,21
16,San Martín 852,09-12-19,10:30:30,10,32,12,green,21
19,Sarmiento 543,09-12-19,10:30:32,11,22,11,green,18
22,Belgrano 768,09-12-19,10:30:25,11,35,11,green,16
23,Belgrano 364,09-12-19,10:30:07,2,17,3,green,15
25,Belgrano 958,09-12-19,10:30:13,6,13,6,green,12
26,9 de Julio 345,09-12-19,10:30:32,6,20,10,green,16
28,General Pinto 945,09-12-19,10:30:27,3,12,4,green,7
29,San Martín 364,09-12-19,10:27:05,7,19,7,green,11
30,San Martín 944,09-12-19,10:30:26,12,24,12,green,19
31,Sarmiento 351,09-12-19,10:28:56,9,18,9,green,13
32,Sarmiento 453,09-12-19,10:27:33,13,27,13,green,17
34,Sarmiento 849,09-12-19,10:27:10,9,24,10,green,18
35,Sarmiento 945,09-12-19,10:30:13,4,18,7,green,21
38,Mitre 948,09-12-19,10:30:29,5,20,8,green,15
41,Mitre 446,09-12-19,10:30:26,4,16,6,green,13
42,Mitre 552,09-12-19,10:30:17,10,19,10,green,17
44,Alem 362,09-12-19,10:30:25,13,26,13,green,27
46,Alem 556,09-12-19,10:30:12,11,24,11,green,20
48,Alem 770,09-12-19,10:26:44,8,17,9,green,21
49,Alem 852,09-12-19,10:30:30,1,12,1,green,3
51,Chacabuco 562,09-12-19,10:30:03,10,21,10,green,18
52,Chacabuco 646,09-12-19,10:30:28,7,21,8,green,14
53,Chacabuco 752,09-12-19,10:30:06,7,21,8,green,15
54,Chacabuco 852,09-12-19,10:30:25,2,23,3,green,4
55,14 de Julio 467,09-12-19,10:30:30,4,13,5,green,13
56,Yrigoyen 557,09-12-19,10:30:13,7,26,7,green,12
57,Yrigoyen 753,09-12-19,10:28:17,13,24,13,green,23
58,Yrigoyen 847,09-12-19,10:30:20,11,24,11,green,23
61,Chacabuco 357,09-12-19,10:30:22,11,22,11,green,23
62,9 de Julio 753,09-12-19,10:30:29,8,21,8,green,19
64,Rodriguez 348,09-12-19,10:30:29,7,17,10,green,20
65,Rodriguez 746,09-12-19,10:30:11,7,23,7,green,16
68,14 de Julio 557,09-12-19,10:30:26,4,14,4,green,10
70,14 de Julio 767,09-12-19,10:30:32,3,21,3,green,5
71,14 de Julio 847,09-12-19,10:30:07,2,22,2,green,2
72,Maipu 453,09-12-19,10:30:29,8,33,8,green,15
73,Maipu 547,09-12-19,10:30:28,7,21,8,green,13
74,Maipu 653,09-12-19,10:30:25,8,20,10,green,17
75,Maipu 333,09-12-19,10:30:26,9,31,13,green,29
78,Maipu 953,09-12-19,10:26:39,1,14,2,green,7
80,General Paz 447,09-12-19,10:29:09,13,36,15,green,30
82,General Paz 647,09-12-19,10:30:08,9,34,9,green,24
85,Av. España 359,09-12-19,10:30:29,1,7,2,green,5
87,Av. España 545,09-12-19,10:30:24,2,10,3,green,4
91,Av. España 957,09-12-19,10:30:28,3,13,3,green,5
95,Av. España 526,09-12-19,10:30:27,5,,5,green,12
98,Av. España 864,09-12-19,10:30:29,3,,3,green,5
